event_id,claim_id,policy_no,event_date,event_type,event_channel,handler_name,amount,outcome,sla_met,response_time_hrs,notes,system_source,created_at
EVT-000001,CLM-00205,POL-272634,2022-03-23,Status Update,Web Portal,Amanda Miller,,Pending,True,47.3,Claim status updated to Denied. Adjuster notes recorded.,PhoneSystem,2022-03-23
EVT-000002,CLM-00076,POL-890170,2021-09-30,Settlement Accepted,Phone,Jason Williams,,No Action Needed,True,9.0,Claimant accepted settlement offer. Release form sent for signature.,Portal,2021-09-30
EVT-000003,CLM-00490,POL-765095,2020-01-30,Document Submitted,Phone,Patricia Garcia,,Escalated,True,45.3,Document type: Police report received via Phone.,MobileApp,2020-01-30
EVT-000004,CLM-00407,POL-624902,2022-08-02,Payment Issued,Phone,Patricia Garcia,9981.68,Escalated,False,27.6,"Payment of $9,981.68 issued to claimant. Check #222922.",EmailGateway,2022-08-02
EVT-000005,CLM-00132,POL-398830,2024-08-23,Claim Closed,Phone,Sandra Anderson,,Follow-up Required,True,68.7,Claim closed. Final disposition: Denied.,PhoneSystem,2024-08-23
EVT-000006,CLM-00015,POL-262998,2024-04-11,Appeal Filed,Phone,Joseph Johnson,,Escalated,True,43.1,Claimant filed formal appeal against coverage decision. Appeal team assigned.,PhoneSystem,2024-04-11
EVT-000007,CLM-00264,POL-245051,2022-07-14,Inspection Completed,Email,Margaret Rivera,,Follow-up Required,True,66.4,On-site inspection completed. Findings: Damage consistent with claim.,Portal,2022-07-14
EVT-000008,CLM-00379,POL-346629,2021-04-27,Payment Issued,Fax,Kimberly Martinez,12265.89,Completed,True,32.6,"Payment of $12,265.89 issued to claimant. Check #388692.",PhoneSystem,2021-04-27
EVT-000009,CLM-00396,POL-158655,2022-01-22,Settlement Accepted,Email,James Carter,,Follow-up Required,False,6.8,Claimant accepted settlement offer. Release form sent for signature.,Portal,2022-01-22
EVT-000010,CLM-00914,POL-520521,2023-10-24,Inspection Completed,In-Person,Patricia Garcia,,Completed,True,34.9,On-site inspection completed. Findings: Damage consistent with claim.,Portal,2023-10-24
EVT-000011,CLM-00580,POL-883300,2021-05-27,Settlement Accepted,Web Portal,Christopher Hall,,Pending,True,65.8,Claimant accepted settlement offer. Release form sent for signature.,Portal,2021-05-27
EVT-000012,CLM-00775,POL-249811,2023-05-17,Appeal Filed,Fax,Sandra Carter,,Follow-up Required,False,24.4,Claimant filed formal appeal against coverage decision. Appeal team assigned.,EmailGateway,2023-05-17
EVT-000013,CLM-00024,POL-551989,2020-08-29,Status Update,Email,Susan Harris,,Pending,True,12.0,Claim status updated to Under Review. Adjuster notes recorded.,EmailGateway,2020-08-29
EVT-000014,CLM-00175,POL-804318,2022-11-14,Document Submitted,In-Person,Kimberly Phillips,,Completed,True,4.3,Document type: Medical records received via In-Person.,MobileApp,2022-11-14
EVT-000015,CLM-00674,POL-208618,2022-08-09,Inspection Scheduled,Web Portal,Donald Rodriguez,,Pending,True,24.6,Field inspection scheduled for 2022-08-12. Inspector: Kimberly Phillips.,MobileApp,2022-08-09
EVT-000016,CLM-01000,POL-704201,2020-11-20,Claim Closed,In-Person,Sharon Anderson,,Completed,False,39.6,Claim closed. Final disposition: Partially paid.,PhoneSystem,2020-11-20
EVT-000017,CLM-00221,POL-559381,2024-03-31,Claim Closed,Email,Kimberly Phillips,,Pending,False,14.5,Claim closed. Final disposition: Paid in full.,Portal,2024-03-31
EVT-000018,CLM-00236,POL-712554,2023-06-24,Status Update,In-Person,Patricia Scott,,Escalated,True,58.0,Claim status updated to Pending Documentation. Adjuster notes recorded.,EmailGateway,2023-06-24
EVT-000019,CLM-00734,POL-684004,2023-10-24,New Claim,Email,Kimberly Phillips,,Escalated,True,34.4,Claim received and assigned claim number. Initial triage completed.,MobileApp,2023-10-24
EVT-000020,CLM-00899,POL-692683,2021-09-28,Settlement Accepted,Phone,Margaret Rivera,,Follow-up Required,True,33.4,Claimant accepted settlement offer. Release form sent for signature.,CMS,2021-09-28
EVT-000021,CLM-00580,POL-883300,2024-02-10,Inspection Completed,In-Person,Jessica Baker,,Pending,False,21.8,On-site inspection completed. Findings: Further review required.,EmailGateway,2024-02-10
EVT-000022,CLM-00483,POL-642717,2020-11-25,Claim Closed,Phone,Jessica Baker,,Escalated,False,56.2,Claim closed. Final disposition: Paid in full.,CMS,2020-11-25
EVT-000023,CLM-00570,POL-100599,2020-12-28,Payment Issued,Phone,Sandra Carter,34208.02,Pending,True,49.7,"Payment of $34,208.02 issued to claimant. Check #594698.",Portal,2020-12-28
EVT-000024,CLM-00976,POL-570405,2022-06-24,Status Update,Fax,Susan Harris,,Completed,True,66.7,Claim status updated to In Litigation. Adjuster notes recorded.,MobileApp,2022-06-24
EVT-000025,CLM-00579,POL-216970,2022-02-02,Status Update,Email,Christopher Hall,,Escalated,False,54.2,Claim status updated to Under Review. Adjuster notes recorded.,Portal,2022-02-02
EVT-000026,CLM-00401,POL-417212,2021-12-01,Status Update,In-Person,Kimberly Thomas,,Pending,True,62.2,Claim status updated to Approved. Adjuster notes recorded.,CMS,2021-12-01
EVT-000027,CLM-00672,POL-897549,2023-11-10,Document Submitted,Web Portal,Joseph Johnson,,Pending,True,37.3,Document type: Photos received via Web Portal.,Portal,2023-11-10
EVT-000028,CLM-00997,POL-240814,2024-04-27,Claim Closed,Fax,James Carter,,Pending,True,27.3,Claim closed. Final disposition: Duplicate claim.,PhoneSystem,2024-04-27
EVT-000029,CLM-00033,POL-217301,2022-01-19,Inspection Completed,In-Person,Donald Rodriguez,,Follow-up Required,True,55.9,On-site inspection completed. Findings: Pre-existing damage noted.,PhoneSystem,2022-01-19
EVT-000030,CLM-00161,POL-262998,2024-10-04,Document Submitted,In-Person,Cynthia Nguyen,,Follow-up Required,True,25.9,Document type: Signed statement received via In-Person.,PhoneSystem,2024-10-04
EVT-000031,CLM-00936,POL-903035,2021-10-05,Inspection Scheduled,Email,Christopher Hall,,Pending,True,13.8,Field inspection scheduled for 2021-10-08. Inspector: Sharon Anderson.,MobileApp,2021-10-05
EVT-000032,CLM-00673,POL-176066,2023-11-11,Claim Closed,Mobile App,Joseph Johnson,,No Action Needed,True,10.9,Claim closed. Final disposition: Withdrawn by claimant.,CMS,2023-11-11
EVT-000033,CLM-00004,POL-335612,2023-07-06,Status Update,Mobile App,James Carter,,Pending,True,43.1,Claim status updated to Under Review. Adjuster notes recorded.,PhoneSystem,2023-07-06
EVT-000034,CLM-00665,POL-580547,2024-08-27,Status Update,Mobile App,Patricia Scott,,Follow-up Required,False,15.2,Claim status updated to Escalated. Adjuster notes recorded.,PhoneSystem,2024-08-27
EVT-000035,CLM-00837,POL-677057,2022-10-03,New Claim,Email,James Carter,,Completed,True,28.1,Claim received and assigned claim number. Initial triage completed.,MobileApp,2022-10-03
EVT-000036,CLM-00466,POL-392075,2024-08-22,Status Update,Fax,Sandra Anderson,,Completed,False,24.2,Claim status updated to Closed. Adjuster notes recorded.,PhoneSystem,2024-08-22
EVT-000037,CLM-00187,POL-922733,2021-01-16,Settlement Accepted,In-Person,Christopher Hall,,Escalated,False,4.6,Claimant accepted settlement offer. Release form sent for signature.,Portal,2021-01-16
EVT-000038,CLM-00899,POL-692683,2021-08-25,Status Update,Phone,Christopher Hall,,Completed,True,27.2,Claim status updated to Settled. Adjuster notes recorded.,EmailGateway,2021-08-25
EVT-000039,CLM-00089,POL-790993,2023-04-21,Claim Closed,Web Portal,Susan Harris,,No Action Needed,True,31.0,Claim closed. Final disposition: Paid in full.,PhoneSystem,2023-04-21
EVT-000040,CLM-00052,POL-921414,2024-06-30,Settlement Offered,Fax,James Carter,,Completed,True,23.7,,PhoneSystem,2024-06-30
EVT-000041,CLM-00641,POL-245051,2021-11-15,Document Submitted,Web Portal,Kimberly Thomas,,Completed,True,40.0,Document type: Proof of ownership received via Web Portal.,CMS,2021-11-15
EVT-000042,CLM-00235,POL-852787,2020-03-02,Settlement Accepted,Fax,James Carter,,Follow-up Required,True,45.9,Claimant accepted settlement offer. Release form sent for signature.,CMS,2020-03-02
EVT-000043,CLM-00361,POL-260263,2024-07-04,Document Submitted,Email,James Carter,,Completed,False,56.6,Document type: Repair estimate received via Email.,Portal,2024-07-04
EVT-000044,CLM-00500,POL-595631,2024-10-22,Appeal Filed,Mobile App,Joseph Johnson,,No Action Needed,True,67.0,Claimant filed formal appeal against coverage decision. Appeal team assigned.,CMS,2024-10-22
EVT-000045,CLM-00729,POL-361941,2022-05-09,Inspection Scheduled,Phone,Sandra Carter,,Escalated,True,59.7,Field inspection scheduled for 2022-05-13. Inspector: Sandra Carter.,CMS,2022-05-09
EVT-000046,CLM-00676,POL-376807,2021-08-24,Inspection Scheduled,Phone,Amanda Miller,,Pending,True,16.6,Field inspection scheduled for 2021-08-27. Inspector: Patricia Scott.,EmailGateway,2021-08-24
EVT-000047,CLM-00195,POL-688153,2024-02-21,Document Submitted,Web Portal,Margaret Rivera,,Completed,True,18.2,Document type: Medical records received via Web Portal.,PhoneSystem,2024-02-21
EVT-000048,CLM-00081,POL-814825,2021-08-24,Settlement Accepted,Phone,Kimberly Phillips,,Escalated,True,23.9,Claimant accepted settlement offer. Release form sent for signature.,Portal,2021-08-24
EVT-000049,CLM-00484,POL-446479,2021-05-06,Settlement Accepted,Email,Joseph Johnson,,No Action Needed,True,23.7,Claimant accepted settlement offer. Release form sent for signature.,EmailGateway,2021-05-06
EVT-000050,CLM-00523,POL-903035,2023-07-12,Inspection Scheduled,Mobile App,Jason Perez,,Follow-up Required,False,24.1,Field inspection scheduled for 2023-07-18. Inspector: Donald Rodriguez.,CMS,2023-07-12
EVT-000051,CLM-00185,POL-260265,2023-07-18,Payment Issued,In-Person,Patricia Garcia,37382.72,Completed,False,47.1,"Payment of $37,382.72 issued to claimant. Check #943257.",MobileApp,2023-07-18
EVT-000052,CLM-00317,POL-214576,2021-11-04,Settlement Offered,In-Person,Kimberly Thomas,,No Action Needed,False,8.7,,PhoneSystem,2021-11-04
EVT-000053,CLM-00672,POL-897549,2022-03-01,Inspection Completed,Fax,Joseph Johnson,,Completed,True,36.8,On-site inspection completed. Findings: Further review required.,EmailGateway,2022-03-01
EVT-000054,CLM-00419,POL-559469,2024-09-06,Claim Closed,Phone,Jessica Baker,,Pending,False,38.3,Claim closed. Final disposition: Duplicate claim.,CMS,2024-09-06
EVT-000055,CLM-00114,POL-518373,2020-03-31,Inspection Scheduled,Mobile App,Patricia Scott,,Escalated,True,55.9,Field inspection scheduled for 2020-04-13. Inspector: Patricia Scott.,Portal,2020-03-31
EVT-000056,CLM-00358,POL-335612,2022-04-11,Settlement Offered,Email,Donald Rodriguez,,Completed,True,41.1,,PhoneSystem,2022-04-11
EVT-000057,CLM-00744,POL-769987,2023-11-06,Document Submitted,Mobile App,Sharon Anderson,,Escalated,True,22.0,Document type: Proof of ownership received via Mobile App.,EmailGateway,2023-11-06
EVT-000058,CLM-00177,POL-217308,2023-10-25,New Claim,Phone,James Carter,,Escalated,True,22.5,Claim received and assigned claim number. Initial triage completed.,EmailGateway,2023-10-25
EVT-000059,CLM-00919,POL-850981,2022-06-30,Document Submitted,Email,Patricia Garcia,,Completed,True,40.8,Document type: Signed statement received via Email.,PhoneSystem,2022-06-30
EVT-000060,CLM-00295,POL-426858,2023-01-03,Settlement Accepted,Phone,James Carter,,Completed,True,17.4,Claimant accepted settlement offer. Release form sent for signature.,EmailGateway,2023-01-03
EVT-000061,CLM-00463,POL-234628,2021-05-20,Status Update,Phone,Sharon Anderson,,Follow-up Required,True,15.4,Claim status updated to Open. Adjuster notes recorded.,MobileApp,2021-05-20
EVT-000062,CLM-00322,POL-174441,2020-08-22,Inspection Completed,Fax,Joseph Johnson,,No Action Needed,True,66.5,On-site inspection completed. Findings: Pre-existing damage noted.,EmailGateway,2020-08-22
EVT-000063,CLM-00892,POL-632323,2024-10-07,Settlement Offered,Email,Donald Rodriguez,,Completed,True,7.4,,CMS,2024-10-07
EVT-000064,CLM-00450,POL-604740,2022-02-12,New Claim,Web Portal,Patricia Scott,,Pending,True,16.5,Claim received and assigned claim number. Initial triage completed.,EmailGateway,2022-02-12
EVT-000065,CLM-00931,POL-847581,2022-08-17,Appeal Filed,In-Person,Patricia Scott,,Follow-up Required,False,27.8,Claimant filed formal appeal against coverage decision. Appeal team assigned.,EmailGateway,2022-08-17
EVT-000066,CLM-00804,POL-604740,2020-01-16,Document Submitted,In-Person,Joseph Johnson,,Escalated,False,8.8,Document type: Police report received via In-Person.,Portal,2020-01-16
EVT-000067,CLM-00119,POL-377932,2022-04-05,Appeal Filed,Email,Jason Perez,,Pending,True,12.6,Claimant filed formal appeal against coverage decision. Appeal team assigned.,MobileApp,2022-04-05
EVT-000068,CLM-00891,POL-220116,2020-04-30,Inspection Scheduled,Email,Joseph Johnson,,No Action Needed,True,67.5,Field inspection scheduled for 2020-05-08. Inspector: Margaret Rivera.,MobileApp,2020-04-30
EVT-000069,CLM-00624,POL-632342,2024-05-23,Payment Issued,Email,Patricia Scott,3562.29,Escalated,True,7.3,"Payment of $3,562.29 issued to claimant. Check #967995.",MobileApp,2024-05-23
EVT-000070,CLM-00334,POL-680828,2021-03-06,Inspection Scheduled,Fax,Joseph Johnson,,Escalated,True,30.2,Field inspection scheduled for 2021-03-14. Inspector: James Carter.,PhoneSystem,2021-03-06
EVT-000071,CLM-00026,POL-413921,2024-10-20,Inspection Scheduled,Fax,Kimberly Phillips,,Escalated,True,35.3,Field inspection scheduled for 2024-10-29. Inspector: Patricia Garcia.,CMS,2024-10-20
EVT-000072,CLM-00064,POL-440035,2021-03-28,Payment Issued,Mobile App,Kimberly Thomas,29330.4,No Action Needed,False,2.0,"Payment of $29,330.40 issued to claimant. Check #562084.",MobileApp,2021-03-28
EVT-000073,CLM-00027,POL-237235,2023-11-21,Settlement Accepted,Web Portal,Jessica Baker,,No Action Needed,True,36.3,Claimant accepted settlement offer. Release form sent for signature.,MobileApp,2023-11-21
EVT-000074,CLM-00515,POL-681542,2020-01-24,Settlement Offered,Email,Joseph Johnson,,Follow-up Required,False,62.8,,Portal,2020-01-24
EVT-000075,CLM-00156,POL-226882,2022-02-15,Claim Closed,Mobile App,Kimberly Martinez,,No Action Needed,True,6.9,Claim closed. Final disposition: Denied.,PhoneSystem,2022-02-15
EVT-000076,CLM-00732,POL-881177,2020-03-14,New Claim,In-Person,Donald Rodriguez,,Escalated,False,25.5,Claim received and assigned claim number. Initial triage completed.,EmailGateway,2020-03-14
EVT-000077,CLM-00919,POL-850981,2022-10-13,Claim Closed,Email,Susan Nguyen,,No Action Needed,True,35.0,Claim closed. Final disposition: Denied.,MobileApp,2022-10-13
EVT-000078,CLM-00430,POL-955662,2022-08-21,New Claim,Fax,Joseph Johnson,,Completed,False,18.8,Claim received and assigned claim number. Initial triage completed.,PhoneSystem,2022-08-21
EVT-000079,CLM-00964,POL-340174,2021-06-15,Settlement Offered,Phone,Amanda Miller,,No Action Needed,True,18.6,,CMS,2021-06-15
EVT-000080,CLM-00234,POL-630458,2020-02-07,New Claim,Web Portal,Jessica Baker,,Escalated,True,68.6,Claim received and assigned claim number. Initial triage completed.,MobileApp,2020-02-07
EVT-000081,CLM-00884,POL-804314,2023-10-16,Payment Issued,Phone,Joseph Johnson,17212.78,Escalated,False,27.5,"Payment of $17,212.78 issued to claimant. Check #623904.",CMS,2023-10-16
EVT-000082,CLM-00860,POL-158655,2020-05-10,New Claim,Mobile App,Donald Rodriguez,,Follow-up Required,True,51.7,Claim received and assigned claim number. Initial triage completed.,MobileApp,2020-05-10
EVT-000083,CLM-00713,POL-392075,2023-01-14,Appeal Filed,Web Portal,Joseph Johnson,,Completed,True,40.6,Claimant filed formal appeal against coverage decision. Appeal team assigned.,MobileApp,2023-01-14
EVT-000084,CLM-00372,POL-237174,2024-11-26,New Claim,Email,Jason Williams,,Escalated,True,20.9,Claim received and assigned claim number. Initial triage completed.,EmailGateway,2024-11-26
EVT-000085,CLM-00897,POL-863587,2020-07-18,Settlement Accepted,In-Person,Donald Rodriguez,,Pending,True,57.3,Claimant accepted settlement offer. Release form sent for signature.,MobileApp,2020-07-18
EVT-000086,CLM-00246,POL-156802,2024-06-06,Payment Issued,In-Person,Kimberly Martinez,22760.41,Follow-up Required,False,43.5,"Payment of $22,760.41 issued to claimant. Check #816042.",PhoneSystem,2024-06-06
EVT-000087,CLM-00970,POL-697347,2022-08-02,Payment Issued,Mobile App,Sandra Carter,37143.75,Follow-up Required,True,27.0,"Payment of $37,143.75 issued to claimant. Check #556827.",CMS,2022-08-02
EVT-000088,CLM-00491,POL-551989,2020-09-15,Inspection Completed,In-Person,Patricia Scott,,Follow-up Required,True,50.1,On-site inspection completed. Findings: Damage less than reported.,Portal,2020-09-15
EVT-000089,CLM-00243,POL-994141,2020-02-17,Claim Closed,In-Person,Cynthia Nguyen,,Escalated,True,69.0,Claim closed. Final disposition: Partially paid.,MobileApp,2020-02-17
EVT-000090,CLM-00724,POL-340062,2021-06-07,Document Submitted,Email,Kimberly Phillips,,Pending,True,25.6,Document type: Repair estimate received via Email.,PhoneSystem,2021-06-07
EVT-000091,CLM-00541,POL-994141,2024-05-04,Appeal Filed,Phone,Cynthia Nguyen,,No Action Needed,True,58.2,Claimant filed formal appeal against coverage decision. Appeal team assigned.,Portal,2024-05-04
EVT-000092,CLM-00111,POL-617488,2020-06-08,Status Update,Fax,Susan Harris,,Completed,True,53.6,Claim status updated to Approved. Adjuster notes recorded.,CMS,2020-06-08
EVT-000093,CLM-00968,POL-526833,2021-03-08,Inspection Completed,Fax,Jessica Baker,,Follow-up Required,True,68.0,On-site inspection completed. Findings: Damage consistent with claim.,MobileApp,2021-03-08
EVT-000094,CLM-00222,POL-500156,2023-09-19,New Claim,In-Person,Kimberly Thomas,,Follow-up Required,True,14.0,Claim received and assigned claim number. Initial triage completed.,MobileApp,2023-09-19
EVT-000095,CLM-00085,POL-201639,2023-07-14,Claim Closed,In-Person,Susan Nguyen,,Follow-up Required,False,47.5,Claim closed. Final disposition: Duplicate claim.,MobileApp,2023-07-14
EVT-000096,CLM-00652,POL-431535,2020-08-30,Settlement Accepted,Phone,Jason Williams,,Follow-up Required,True,63.6,Claimant accepted settlement offer. Release form sent for signature.,PhoneSystem,2020-08-30
EVT-000097,CLM-00518,POL-203198,2024-01-10,Settlement Accepted,Phone,James Carter,,Follow-up Required,True,33.2,Claimant accepted settlement offer. Release form sent for signature.,MobileApp,2024-01-10
EVT-000098,CLM-00507,POL-526156,2023-03-11,New Claim,Email,Patricia Garcia,,Escalated,False,19.9,Claim received and assigned claim number. Initial triage completed.,PhoneSystem,2023-03-11
EVT-000099,CLM-00029,POL-182582,2023-11-15,Claim Closed,Email,Cynthia Nguyen,,Escalated,True,57.4,Claim closed. Final disposition: Withdrawn by claimant.,Portal,2023-11-15
EVT-000100,CLM-00949,POL-491559,2023-08-04,Inspection Scheduled,In-Person,Kimberly Phillips,,Follow-up Required,True,59.5,Field inspection scheduled for 2023-08-07. Inspector: Donald Rodriguez.,Portal,2023-08-04
EVT-000101,CLM-00663,POL-891952,2023-10-10,Claim Closed,Phone,James Carter,,Follow-up Required,True,20.0,Claim closed. Final disposition: Withdrawn by claimant.,Portal,2023-10-10
EVT-000102,CLM-00855,POL-580547,2021-07-09,Settlement Accepted,Web Portal,Amanda Miller,,Pending,True,65.4,Claimant accepted settlement offer. Release form sent for signature.,Portal,2021-07-09
EVT-000103,CLM-00224,POL-865388,2021-06-17,Inspection Completed,Fax,Cynthia Nguyen,,Follow-up Required,False,29.7,On-site inspection completed. Findings: Damage consistent with claim.,CMS,2021-06-17
EVT-000104,CLM-00976,POL-570405,2023-12-12,Inspection Scheduled,Web Portal,Kimberly Thomas,,Follow-up Required,True,34.1,Field inspection scheduled for 2023-12-20. Inspector: Kimberly Martinez.,CMS,2023-12-12
EVT-000105,CLM-00495,POL-946721,2020-03-29,Appeal Filed,Phone,Sharon Anderson,,Follow-up Required,False,1.3,Claimant filed formal appeal against coverage decision. Appeal team assigned.,PhoneSystem,2020-03-29
EVT-000106,CLM-00534,POL-156802,2021-11-16,Inspection Completed,Email,Margaret Rivera,,Escalated,True,31.6,On-site inspection completed. Findings: Damage consistent with claim.,PhoneSystem,2021-11-16
EVT-000107,CLM-00547,POL-358607,2022-11-18,Inspection Scheduled,In-Person,Margaret Rivera,,Escalated,False,54.0,Field inspection scheduled for 2022-11-22. Inspector: Sandra Carter.,EmailGateway,2022-11-18
EVT-000108,CLM-00413,POL-559381,2022-12-07,Document Submitted,Mobile App,Kimberly Martinez,,Follow-up Required,False,67.9,Document type: Proof of ownership received via Mobile App.,Portal,2022-12-07
EVT-000109,CLM-00664,POL-542666,2024-05-29,New Claim,Email,Patricia Scott,,No Action Needed,False,58.4,Claim received and assigned claim number. Initial triage completed.,PhoneSystem,2024-05-29
